RecordID,CustomerID,City,Lat Long,Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,Churn Value,CLTV,Churn Reason
50,1285-OKIPP,Mission Hills,"34.266389, -118.459744",Male,No,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,79.9,79.9,1,3394,Lack of self-service on Website
51,7825-ECJRF,Santa Clarita,"34.502432, -118.41459",Female,No,No,Yes,19,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,106.6,1934.45,1,3764,Network reliability
52,7841-TZDMQ,Sun Valley,"34.231053, -118.338307",Male,No,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),46.0,84.5,1,2667,Don't know
53,9408-SSNVZ,Stevenson Ranch,"34.364153, -118.615583",Female,No,No,Yes,4,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.15,268.35,1,2227,Don't know
54,0742-MOABM,Panorama City,"34.223768, -118.445461",Male,No,Yes,No,4,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,50.05,179.35,1,3394,Don't know
55,2232-DMLXU,Van Nuys,"34.17847, -118.459472",Female,No,Yes,No,1,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,55.2,55.2,1,3638,Poor expertise of online support
56,8937-RDTHP,Burbank,"34.213049, -118.317651",Male,No,No,Yes,1,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,84.6,84.6,1,2484,Poor expertise of phone support
57,1251-KRREG,North Hollywood,"34.1692, -118.372498",Male,No,No,No,2,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,54.4,114.1,1,2556,Price too high
58,0094-OIFMO,North Hollywood,"34.207295, -118.400022",Female,Yes,No,Yes,11,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.0,1120.3,1,5980,Product dissatisfaction
59,9947-OTFQU,Covina,"34.097345, -117.906736",Male,Yes,No,No,15,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,74.4,1074.3,1,4616,Service dissatisfaction
60,0322-YINQP,Covina,"34.084747, -117.886844",Male,No,No,No,1,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,48.55,48.55,1,5687,Lack of self-service on Website
61,4629-NRXKX,El Monte,"34.079934, -118.046695",Female,No,Yes,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,70.4,147.15,1,5687,Network reliability
62,9514-JDSKI,El Monte,"34.074492, -118.01462",Male,Yes,Yes,No,1,No,No phone service,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,40.2,40.2,1,5828,Limited range of services
63,4959-JOSRX,La Puente,"34.031441, -117.936436",Female,No,Yes,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),44.6,80.55,1,4884,Lack of affordable download/upload speed
64,7273-TEFQD,La Puente,"34.038983, -117.991372",Male,Yes,No,No,3,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,41.15,132.2,1,2314,Long distance charges
65,3606-TWKGI,Rowland Heights,"33.976753, -117.897367",Male,Yes,No,No,13,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.9,1364.3,1,2494,Extra data charges
66,6323-AYBRX,Ontario,"34.057256, -117.667677",Male,No,No,No,59,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.35,1099.6,1,5084,Price too high
67,4385-GZQXV,Ontario,"34.074087, -117.605618",Female,Yes,No,No,16,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,94.45,1511.2,1,3810,Product dissatisfaction
68,6366-ZGQGL,Pomona,"34.042286, -117.756106",Male,No,No,No,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),24.8,24.8,1,5087,Service dissatisfaction
69,5940-AHUHD,Pomona,"34.067932, -117.785168",Male,No,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,70.6,70.6,1,3338,Lack of self-service on Website
70,6432-TWQLB,Rosemead,"34.065108, -118.082791",Male,No,Yes,No,5,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,85.4,401.1,1,3676,Network reliability
71,4484-GLZOU,San Dimas,"34.102119, -117.815532",Female,No,Yes,No,52,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.05,5624.85,1,4839,Don't know
72,9512-UIBFX,West Covina,"34.061634, -117.893169",Male,No,Yes,No,18,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,95.15,1779.95,1,4643,Don't know
73,5583-SXDAG,Alhambra,"34.074736, -118.145959",Male,No,Yes,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,70.0,70,1,4094,Don't know
74,3488-PGMQJ,Alpine,"32.827184, -116.703729",Male,Yes,No,No,8,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,74.5,606.55,1,4345,Poor expertise of online support
75,3580-REOAC,Bonita,"32.67117, -117.00232",Male,No,No,No,10,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),44.85,435.4,1,4061,Poor expertise of phone support
76,7534-BFESC,Boulevard,"32.677097, -116.304991",Male,Yes,No,No,24,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.1,1712.7,1,2018,Price too high
77,6390-DSAZX,Guatay,"32.857946, -116.561917",Female,No,No,No,1,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,73.6,73.6,1,2565,Product dissatisfaction
78,8098-LLAZX,Jacumba,"32.649787, -116.2237",Female,Yes,No,No,4,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,396.1,1,3677,Service dissatisfaction
79,0265-EDXBD,Mount Laguna,"32.830852, -116.444601",Male,Yes,Yes,No,32,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.9,2303.35,1,4105,Lack of self-service on Website
80,7563-BIUPC,Borrego Springs,"33.200369, -116.192313",Male,No,No,No,5,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.6,415.55,1,5715,Network reliability
81,2321-OMBXY,Carlsbad,"33.098018, -117.258203",Female,No,Yes,No,38,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes,One year,No,Credit card (automatic),80.3,3058.65,1,2071,Limited range of services
82,2840-XANRC,Del Mar,"32.948262, -117.256086",Male,Yes,Yes,No,24,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,93.15,2231.05,1,2212,Lack of affordable download/upload speed
83,5020-ZSTTY,El Cajon,"32.79697, -116.969082",Female,Yes,No,No,54,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,One year,No,Bank transfer (automatic),82.45,4350.1,1,4149,Long distance charges
84,5804-LEPIM,Escondido,"33.079834, -117.134275",Female,Yes,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.35,139.05,1,2671,Extra data charges
85,0122-OAHPZ,Oceanside,"33.254497, -117.285879",Female,No,No,No,7,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,73.85,511.25,1,2473,Price too high
86,2868-SNELZ,Pala,"33.384345, -117.072619",Female,No,No,No,2,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,80.6,155.8,1,2683,Product dissatisfaction
87,4322-RCYMT,Palomar Mountain,"33.309852, -116.823091",Male,No,Yes,No,68,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes,One year,Yes,Bank transfer (automatic),75.8,5293.95,1,4903,Service dissatisfaction
88,6680-NENYN,Pauma Valley,"33.313828, -116.940501",Female,No,No,No,43,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Electronic check,104.6,4759.85,1,5250,Lack of self-service on Website
89,1343-EHPYB,Ranchita,"33.215251, -116.53633",Male,No,Yes,No,63,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,103.4,6603,1,4352,Network reliability
90,2034-GDRCN,Valley Center,"33.25283, -116.986079",Female,No,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,90.4,168.2,1,4157,Don't know
91,0219-YTZUE,San Diego,"32.747484, -117.166877",Male,No,Yes,No,4,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),84.8,371.9,1,4939,Don't know
92,0623-IIHUG,San Diego,"32.741499, -117.127409",Female,Yes,No,No,21,No,No phone service,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,41.9,840.1,1,4778,Don't know
93,4572-DVCGN,San Diego,"32.741859, -117.090353",Female,No,No,No,10,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),80.25,846,1,3598,Poor expertise of online support
94,9057-MSWCO,San Diego,"32.774046, -117.142454",Male,Yes,Yes,No,27,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Credit card (automatic),30.75,805.1,1,2927,Poor expertise of phone support
95,1010-DIAUQ,San Diego,"32.765299, -117.122565",Male,No,No,No,5,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),96.5,492.55,1,5383,Price too high
96,0259-GBZSH,San Diego,"32.85723, -117.209774",Male,No,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,85.65,181.5,1,3878,Product dissatisfaction
97,9601-BRXPO,San Diego,"32.961064, -117.134917",Female,No,Yes,No,25,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),104.95,2566.5,1,3642,Service dissatisfaction
98,6905-NIQIN,San Diego,"32.578103, -117.012975",Male,No,No,No,1,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,50.65,50.65,1,2431,Don't know
99,5167-ZFFMM,Indio,"33.713891, -116.237257",Male,No,No,No,1,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),90.85,90.85,1,3424,Network reliability
100,4895-TMWIR,Indian Wells,"33.537646, -116.291089",Male,Yes,Yes,No,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.95,214.75,1,5888,Limited range of services
101,0533-BNWKF,Palm Desert,"33.762759, -116.324817",Female,Yes,Yes,No,55,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,85.45,4874.7,1,5502,Lack of affordable download/upload speed
102,6599-CEBNN,Desert Hot Springs,"33.948558, -116.516976",Female,No,No,No,34,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),73.95,2524.45,1,5795,Long distance charges
103,0979-PHULV,Holtville,"32.811001, -115.152865",Male,No,Yes,No,69,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.45,7007.6,1,4020,Extra data charges
104,4800-VHZKI,Niland,"33.345825, -115.596574",Female,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.9,19.9,1,3351,Price too high
105,7989-CHGTL,North Palm Springs,"33.906496, -116.569499",Male,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.6,19.6,1,3448,Product dissatisfaction
106,0334-GDDSO,Ocotillo,"32.698964, -115.886656",Male,Yes,No,No,3,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,81.35,233.7,1,2818,Service dissatisfaction
107,0578-SKVMF,Seeley,"32.790282, -115.689559",Female,No,Yes,No,22,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,83.3,1845.9,1,3804,Lack of self-service on Website
108,5564-NEMQO,Thermal,"33.53604, -116.119222",Female,Yes,No,No,1,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.3,75.3,1,4902,Network reliability
109,9063-ZGTUY,Adelanto,"34.667815, -117.536183",Female,No,Yes,No,61,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.4,1182.55,1,4221,Don't know
110,2957-LOLHO,Apple Valley,"34.55082, -117.122396",Male,No,No,No,12,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),45.4,518.9,1,2887,Don't know
111,7752-XUSCI,Crestline,"34.248061, -117.29028",Female,No,No,No,60,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.9,6396.45,1,4105,Don't know
112,4110-PFEUZ,Daggett,"34.875144, -116.821698",Female,No,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,69.55,69.55,1,2792,Competitor had better devices
113,0256-LTHVJ,Ludlow,"34.702766, -116.093376",Female,No,Yes,No,28,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,81.05,2227.1,1,5201,Competitor had better devices
114,0880-TKATG,Lucerne Valley,"34.508417, -116.856103",Male,No,Yes,No,4,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,101.15,385.9,1,4417,Competitor had better devices
115,3811-VBYBZ,Lytle Creek,"34.238162, -117.534306",Male,No,No,No,7,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.8,673.25,1,2031,Competitor had better devices
116,4640-UHDOS,Phelan,"34.441123, -117.537886",Female,No,Yes,No,13,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,55.95,734.35,1,4498,Competitor had better devices
117,3583-EKAPL,Redlands,"34.003243, -117.138286",Male,No,No,No,1,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,55.0,55,1,4877,Competitor had better devices
118,9399-APLBT,Rialto,"34.156758, -117.404686",Female,No,Yes,No,1,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,74.7,74.7,1,5980,Competitor had better devices
119,2359-KMGLI,Running Springs,"34.186211, -117.07683",Male,No,No,No,24,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,80.25,1861.5,1,4418,Competitor had better devices
120,0306-JAELE,Tecopa,"35.824572, -116.274755",Male,No,No,No,5,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,96.1,453.4,1,4192,Competitor had better devices
121,6227-HWPWX,Victorville,"34.486835, -117.362274",Female,No,No,No,15,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),69.0,994.8,1,5671,Competitor had better devices
122,0447-BEMNG,Wrightwood,"34.358321, -117.618263",Female,No,Yes,No,48,No,No phone service,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),45.3,2145,1,4926,Price too high
123,5949-XIKAE,San Bernardino,"34.105935, -117.2914",Female,No,Yes,No,8,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,83.55,680.05,1,2879,Product dissatisfaction
124,8372-JUXUI,San Bernardino,"34.106922, -117.297553",Male,No,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.35,74.35,1,2814,Service dissatisfaction
